                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.9914,                0.44914,                 1.0403,                0.95025,                  0.974,                0.98142,                0.72614,                 1.0246,                 0.4077,                  1.085,               0.002773,               0.002773,               0.002773
                     75,                0.98588,                0.44578,                 1.0372,                0.95044,                0.97399,                0.98144,                 0.7264,                 1.0246,                0.40728,                 1.0848,               0.002674,               0.002674,               0.002674
                     76,                0.98379,                0.44427,                  1.036,                 0.9509,                0.97452,                0.98164,                 0.7267,                 1.0245,                0.40675,                 1.0847,               0.002575,               0.002575,               0.002575
                     77,                0.98321,                0.44358,                  1.034,                0.95115,                0.97443,                0.98163,                0.72676,                 1.0241,                0.40614,                 1.0844,               0.002476,               0.002476,               0.002476
                     78,                0.97872,                0.44272,                 1.0318,                0.95177,                0.97501,                 0.9818,                0.72718,                  1.024,                0.40565,                 1.0842,               0.002377,               0.002377,               0.002377
                     79,                0.97329,                0.43748,                 1.0311,                0.95205,                0.97484,                0.98185,                0.72742,                 1.0237,                0.40534,                 1.0839,               0.002278,               0.002278,               0.002278
                     80,                0.97439,                0.43742,                 1.0305,                0.95232,                 0.9748,                0.98192,                0.72748,                 1.0237,                0.40499,                 1.0837,               0.002179,               0.002179,               0.002179
                     81,                0.96857,                0.43554,                 1.0294,                0.95232,                0.97481,                0.98196,                0.72788,                 1.0233,                0.40451,                 1.0835,                0.00208,                0.00208,                0.00208
                     82,                0.96567,                0.43313,                 1.0277,                0.95216,                0.97434,                0.98193,                0.72773,                 1.0231,                0.40389,                 1.0833,               0.001981,               0.001981,               0.001981
                     83,                0.96337,                0.43176,                 1.0246,                0.95242,                0.97465,                0.98215,                0.72831,                 1.0228,                0.40354,                 1.0832,               0.001882,               0.001882,               0.001882
                     84,                0.96111,                0.42991,                 1.0249,                0.95274,                0.97458,                0.98218,                0.72878,                 1.0227,                0.40313,                  1.083,               0.001783,               0.001783,               0.001783
                     85,                0.95392,                0.42525,                 1.0232,                0.95344,                0.97426,                0.98221,                0.72891,                 1.0225,                0.40246,                 1.0828,               0.001684,               0.001684,               0.001684
                     86,                0.95198,                0.42464,                 1.0206,                0.95342,                0.97479,                0.98225,                0.72878,                 1.0223,                0.40217,                 1.0826,               0.001585,               0.001585,               0.001585
                     87,                0.94902,                0.42289,                 1.0187,                 0.9536,                0.97488,                0.98225,                0.72897,                 1.0222,                0.40184,                 1.0824,               0.001486,               0.001486,               0.001486
                     88,                0.94461,                0.42019,                 1.0169,                0.95438,                0.97421,                0.98228,                0.72882,                  1.022,                 0.4014,                 1.0822,               0.001387,               0.001387,               0.001387
                     89,                0.94176,                0.41804,                 1.0149,                0.95451,                0.97427,                0.98232,                0.72892,                 1.0217,                0.40108,                 1.0818,               0.001288,               0.001288,               0.001288
                     90,                0.93976,                0.41665,                 1.0157,                0.95561,                 0.9744,                0.98237,                0.72893,                 1.0216,                 0.4007,                 1.0816,               0.001189,               0.001189,               0.001189
                     91,                0.90083,                0.37881,                 1.0156,                 0.9557,                0.97452,                0.98256,                 0.7291,                 1.0215,                0.40027,                 1.0814,                0.00109,                0.00109,                0.00109
                     92,                0.88956,                0.37328,                 1.0111,                0.95571,                0.97439,                0.98237,                0.72926,                 1.0213,                0.40001,                 1.0812,               0.000991,               0.000991,               0.000991
                     93,                0.88481,                0.36983,                 1.0106,                0.95558,                0.97434,                0.98243,                0.72939,                 1.0212,                 0.3998,                 1.0811,               0.000892,               0.000892,               0.000892
                     94,                0.87928,                0.36651,                 1.0068,                0.95597,                 0.9742,                0.98235,                0.72965,                  1.021,                0.39936,                 1.0808,               0.000793,               0.000793,               0.000793
                     95,                0.87279,                0.36452,                 1.0034,                0.95613,                  0.974,                 0.9824,                0.72982,                 1.0211,                0.39897,                 1.0807,               0.000694,               0.000694,               0.000694
                     96,                0.86804,                0.36138,                 1.0033,                0.95608,                0.97424,                0.98239,                   0.73,                  1.021,                0.39844,                 1.0805,               0.000595,               0.000595,               0.000595
                     97,                0.86463,                0.35972,                 1.0032,                0.95626,                0.97455,                0.98242,                0.72998,                  1.021,                0.39825,                 1.0806,               0.000496,               0.000496,               0.000496
                     98,                0.85887,                0.35575,                 1.0001,                0.95618,                0.97469,                0.98237,                0.73006,                 1.0209,                0.39774,                 1.0806,               0.000397,               0.000397,               0.000397
                     99,                0.85403,                0.35383,                0.99588,                 0.9561,                0.97547,                0.98243,                   0.73,                 1.0209,                0.39732,                 1.0806,               0.000298,               0.000298,               0.000298
                    100,                0.84964,                0.35069,                0.99394,                0.95627,                0.97594,                0.98238,                0.73032,                 1.0209,                0.39678,                 1.0806,               0.000199,               0.000199,               0.000199
